CGND-HDA-00597-b38	HRA_00282
GTEX-TSE9	SRR655146
CGND-HDA-00544-b38	HRA_00580
GTEX-13SLX	SRR1488538
GTEX-12WSD	SRR1430248
GTEX-13JUV	SRR1363992
GTEX-Q2AG	SRR602598
GTEX-13FXS	SRR1486304
CGND-HDA-00596-b38	HRA_00281
CGND-HDA-02055	HRA_01259
CGND-HDA-02054	HRA_00592
CGND-HDA-00557-b38	HRA_01230
CGND-HDA-02479	HRA_01205
GTEX-13NYB	SRR1470212
CGND-HDA-00563-b38	HRA_01241
GTEX-12126	SRR1320071
